 Problem details,,, Constructive Algorithm,,, Local Search,, GRASP algorithm,, Known best solution or upper bound
 Name, |V| or n, |E| or m, Simple Randomized, Greedy-1, Semi-Greedy-1 (alpha=0.9),  No. of Iterations, Best Value, No. of Iterations, Best Value
G1,800,19176,9596,10956,11294,20,11408,100,11502,12078
G2,800,19176,9577,11030,11266,20,11412,100,11476,12084
G3,800,19176,9570,11012,11287,20,11413,100,11483,12077
G4,800,19176,9586,11031,11268,20,11411,100,11511,
G5,800,19176,9623,10990,11230,20,11421,100,11523,
G6,800,19176,72,1515,1815,20,1929,100,2029,
G7,800,19176,-80,1362,1572,20,1760,100,1865,
G8,800,19176,-78,1331,1646,20,1780,100,1889,
G9,800,19176,-10,1507,1658,20,1813,100,1921,
G10,800,19176,-91,1350,1556,20,1765,100,1828,
G11,800,1600,12,434,482,20,491,100,516,627
G12,800,1600,0,418,474,20,479,100,500,621
G13,800,1600,21,432,506,20,504,100,528,645
G14,800,4694,2343,2890,2956,20,2971,100,2993,3187
G15,800,4661,2335,2873,2923,20,2950,100,2982,3169
G16,800,4672,2332,2878,2913,20,2954,100,2978,3172
G17,800,4667,2333,2864,2927,20,2957,100,2976,
G18,800,4694,29,780,846,20,885,100,917,
G19,800,4661,-57,681,780,20,798,100,836,
G20,800,4672,-17,698,795,20,830,100,861,
G21,800,4667,-32,704,727,20,813,100,853,
G22,2000,19990,9990,12346,12772,20,12951,100,13038,14123
G23,2000,19990,10015,12291,12801,20,12961,100,13056,14129
G24,2000,19990,10013,12367,12771,20,12963,100,13028,14131
G25,2000,19990,10004,12408,12772,20,12957,100,13021,
G26,2000,19990,10014,12355,12811,20,12936,100,13064,
G27,2000,19990,-17,2316,2658,20,2921,100,3022,
G28,2000,19990,-38,2329,2645,20,2880,100,2955,
G29,2000,19990,33,2367,2752,20,2957,100,3054,
G30,2000,19990,58,2401,2789,20,2978,100,3068,
G31,2000,19990,-39,2290,2596,20,2890,100,2983,
G32,2000,4000,4,1058,1196,20,1214,100,1248,1560
G33,2000,4000,-11,1000,1204,20,1207,100,1232,1537
G34,2000,4000,-21,988,1190,20,1202,100,1230,1541
G35,2000,11778,5888,7252,7395,20,7444,100,7480,8000
G36,2000,11766,5885,7225,7351,20,7437,100,7478,7996
G37,2000,11785,5883,7264,7380,20,7452,100,7493,8009
G38,2000,11779,5893,7305,7377,20,7453,100,7478,
G39,2000,11778,8,1861,2049,20,2135,100,2188,
G40,2000,11766,-46,1834,1928,20,2124,100,2195,
G41,2000,11785,4,1876,1978,20,2127,100,2177,
G42,2000,11779,66,1989,2085,20,2201,100,2271,
G43,1000,9990,4998,6188,6359,20,6464,100,6540,7027
G44,1000,9990,4983,6157,6391,20,6454,100,6521,7022
G45,1000,9990,5001,6179,6389,20,6464,100,6528,7020
G46,1000,9990,5013,6150,6380,20,6464,100,6522,
G47,1000,9990,5001,6220,6408,20,6470,100,6528,
G48,3000,6000,3006,6000,6000,20,6000,100,6000,6000
G49,3000,6000,3009,6000,6000,20,6000,100,6000,6000
G50,3000,6000,3005,5880,5880,20,5880,100,5880,5988
G51,1000,5909,2954,3626,3709,20,3735,100,3764,
G52,1000,5916,2958,3650,3679,20,3739,100,3758,
G53,1000,5914,2955,3632,3701,20,3727,100,3760,
G54,1000,5916,2960,3633,3692,20,3723,100,3753,
